Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
division-loop,66.01,28.15,0.0,1.9,3420,0.0,0
division-loop,65.97,28.1,0.0,1.91,3422,0.0,0
division-loop,65.69,27.83,0.0,1.9,3421,0.0,0
division-loop,65.81,27.97,0.0,1.9,3420,0.0,0
division-loop,65.69,27.83,0.0,1.9,3421,0.0,0
division-loop,65.37,27.51,0.0,1.9,3420,0.0,0
division-loop,65.59,27.75,0.0,1.9,3421,0.0,0
division-loop,65.57,27.71,0.0,1.9,3420,0.0,0
division-loop,65.77,27.91,0.0,1.9,3421,0.0,0
division-loop,65.63,27.79,0.0,1.9,3420,0.0,0
division-loop,65.98,28.09,0.0,1.91,3422,0.0,0
division-loop,65.62,27.77,0.0,1.9,3421,0.0,0
division-loop,65.31,27.45,0.0,1.9,3420,0.0,0
division-loop,65.73,27.89,0.0,1.9,3420,0.0,0
division-loop,65.95,28.08,0.0,1.9,3421,0.0,0
division-loop,66.32,28.45,0.0,1.9,3420,0.0,0
division-loop,65.85,27.99,0.0,1.9,3421,0.0,0
division-loop,65.35,27.51,0.0,1.9,3420,0.0,0
division-loop,65.78,27.91,0.0,1.91,3422,0.0,0
division-loop,65.95,28.08,0.0,1.9,3420,0.0,0
division-loop,65.65,27.81,0.0,1.9,3421,0.0,0
division-loop,65.33,27.46,0.0,1.9,3420,0.0,0
division-loop,65.29,27.44,0.0,1.9,3420,0.0,0
division-loop,65.77,27.91,0.0,1.9,3420,0.0,0
division-loop,65.69,27.84,0.0,1.9,3420,0.0,0
division-loop,65.92,28.05,0.0,1.9,3420,0.0,0
division-loop,65.9,28.04,0.0,1.9,3421,0.0,0
division-loop,65.95,28.07,0.0,1.91,3422,0.0,0
division-loop,65.78,27.92,0.0,1.9,3420,0.0,0
division-loop,65.89,28.04,0.0,1.9,3421,0.0,0
