Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
matrix-multiplication,1.05,0.53,0.0,0.03,47,0.0,0
matrix-multiplication,1.06,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.06,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.06,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.06,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.07,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.07,0.55,0.0,0.03,47,0.0,0
matrix-multiplication,1.06,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.03,0.53,0.0,0.03,47,0.0,0
matrix-multiplication,1.04,0.52,0.0,0.03,47,0.0,0
matrix-multiplication,1.06,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.06,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.06,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.04,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.07,0.55,0.0,0.03,47,0.0,0
matrix-multiplication,1.05,0.55,0.0,0.03,47,0.0,0
matrix-multiplication,1.07,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.06,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.04,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.06,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.07,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.07,0.55,0.0,0.03,47,0.0,0
matrix-multiplication,1.04,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.07,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.06,0.54,0.0,0.03,46,0.0,0
matrix-multiplication,1.06,0.54,0.0,0.03,47,0.0,0
matrix-multiplication,1.01,0.49,0.0,0.03,47,0.0,0
matrix-multiplication,1.01,0.49,0.0,0.03,47,0.0,0
matrix-multiplication,1.01,0.49,0.0,0.03,47,0.0,0
matrix-multiplication,1.01,0.49,0.0,0.03,47,0.0,0
matrix-multiplication,1.01,0.48,0.0,0.03,47,0.0,0
