Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
matrix-multiplication,2.67,1.58,0.0,0.06,100,0.0,0
matrix-multiplication,1.68,0.89,0.0,0.05,72,0.0,0
matrix-multiplication,1.63,0.85,0.0,0.04,72,0.0,0
matrix-multiplication,1.72,0.88,0.0,0.05,74,0.0,0
matrix-multiplication,1.62,0.81,0.0,0.04,74,0.0,0
matrix-multiplication,1.51,0.77,0.0,0.04,67,0.0,0
matrix-multiplication,1.41,0.69,0.0,0.04,65,0.0,0
matrix-multiplication,1.4,0.69,0.0,0.04,64,0.0,0
matrix-multiplication,1.39,0.68,0.0,0.04,65,0.0,0
matrix-multiplication,1.64,0.84,0.0,0.04,70,0.0,0
matrix-multiplication,1.54,0.74,0.0,0.04,72,0.0,0
matrix-multiplication,1.59,0.79,0.0,0.04,72,0.0,0
matrix-multiplication,1.52,0.74,0.0,0.04,72,0.0,0
matrix-multiplication,1.54,0.74,0.0,0.04,71,0.0,0
matrix-multiplication,1.6,0.79,0.0,0.04,72,0.0,0
matrix-multiplication,1.41,0.71,0.0,0.04,63,0.0,0
matrix-multiplication,1.4,0.7,0.0,0.04,63,0.0,0
matrix-multiplication,1.44,0.75,0.0,0.04,63,0.0,0
matrix-multiplication,1.41,0.7,0.0,0.04,63,0.0,0
matrix-multiplication,1.4,0.71,0.0,0.04,64,0.0,0
matrix-multiplication,1.4,0.7,0.0,0.04,63,0.0,0
matrix-multiplication,1.41,0.71,0.0,0.04,63,0.0,0
matrix-multiplication,1.4,0.7,0.0,0.04,63,0.0,0
matrix-multiplication,1.43,0.73,0.0,0.04,63,0.0,0
matrix-multiplication,1.48,0.75,0.0,0.04,64,0.0,0
matrix-multiplication,1.4,0.7,0.0,0.04,63,0.0,0
matrix-multiplication,1.53,0.83,0.0,0.04,63,0.0,0
matrix-multiplication,1.43,0.73,0.0,0.04,63,0.0,0
matrix-multiplication,1.76,1.05,0.0,0.04,63,0.0,0
matrix-multiplication,1.8,1.13,0.0,0.05,63,0.0,0
matrix-multiplication,1.42,0.74,0.0,0.04,63,0.0,0
matrix-multiplication,1.54,0.86,0.0,0.04,62,0.0,0
matrix-multiplication,1.4,0.7,0.0,0.04,63,0.0,0
matrix-multiplication,1.41,0.71,0.0,0.04,63,0.0,0
matrix-multiplication,1.45,0.74,0.0,0.04,64,0.0,0
matrix-multiplication,1.43,0.74,0.0,0.04,63,0.0,0
matrix-multiplication,1.42,0.74,0.0,0.04,62,0.0,0
matrix-multiplication,1.4,0.69,0.0,0.04,63,0.0,0
matrix-multiplication,1.36,0.68,0.0,0.04,63,0.0,0
matrix-multiplication,1.38,0.68,0.0,0.04,62,0.0,0
matrix-multiplication,1.4,0.69,0.0,0.04,63,0.0,0
matrix-multiplication,1.37,0.69,0.0,0.04,62,0.0,0
matrix-multiplication,1.38,0.68,0.0,0.04,63,0.0,0
matrix-multiplication,1.37,0.69,0.0,0.04,62,0.0,0
matrix-multiplication,1.43,0.72,0.0,0.04,64,0.0,0
