Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
mandelbrot,22.99,7.13,0.0,0.8,1433,32.0,0
mandelbrot,22.97,7.14,0.0,0.8,1432,32.0,0
mandelbrot,22.88,7.11,0.0,0.81,1425,32.0,0
mandelbrot,22.88,7.11,0.0,0.81,1425,32.0,0
mandelbrot,22.87,7.1,0.0,0.81,1425,32.0,0
mandelbrot,22.86,7.11,0.0,0.81,1424,32.0,0
mandelbrot,22.88,7.12,0.0,0.81,1425,32.0,0
mandelbrot,23.14,7.16,0.0,0.82,1444,32.0,0
mandelbrot,22.85,7.1,0.0,0.81,1424,32.0,0
mandelbrot,22.85,7.08,0.0,0.81,1425,32.0,0
mandelbrot,22.88,7.11,0.0,0.81,1425,32.0,0
mandelbrot,22.87,7.1,0.0,0.81,1425,32.0,0
mandelbrot,22.86,7.1,0.0,0.81,1425,32.0,0
mandelbrot,22.86,7.09,0.0,0.81,1425,32.0,0
mandelbrot,22.81,7.05,0.0,0.81,1425,32.0,0
mandelbrot,22.84,7.09,0.0,0.81,1424,32.0,0
mandelbrot,22.85,7.08,0.0,0.81,1425,32.0,0
mandelbrot,22.85,7.08,0.0,0.81,1424,32.0,0
mandelbrot,22.86,7.11,0.0,0.81,1425,32.0,0
mandelbrot,22.88,7.11,0.0,0.81,1425,32.0,0
mandelbrot,22.87,7.1,0.0,0.81,1425,32.0,0
mandelbrot,22.87,7.1,0.0,0.81,1424,32.0,0
mandelbrot,22.83,7.06,0.0,0.81,1425,32.0,0
mandelbrot,22.82,7.05,0.0,0.81,1425,32.0,0
mandelbrot,22.86,7.09,0.0,0.81,1425,32.0,0
mandelbrot,22.88,7.11,0.0,0.81,1425,32.0,0
mandelbrot,22.88,7.11,0.0,0.81,1425,32.0,0
mandelbrot,22.84,7.09,0.0,0.81,1425,32.0,0
mandelbrot,22.82,7.06,0.0,0.81,1426,32.0,0
mandelbrot,22.87,7.1,0.0,0.81,1425,32.0,0
mandelbrot,22.86,7.1,0.0,0.81,1424,32.0,0
mandelbrot,22.88,7.11,0.0,0.81,1425,32.0,0
mandelbrot,22.86,7.09,0.0,0.81,1426,32.0,0
mandelbrot,22.87,7.11,0.0,0.81,1424,32.0,0
mandelbrot,22.87,7.1,0.0,0.81,1425,32.0,0
mandelbrot,22.87,7.1,0.0,0.81,1424,32.0,0
mandelbrot,22.85,7.1,0.0,0.81,1425,32.0,0
mandelbrot,22.86,7.1,0.0,0.81,1425,32.0,0
mandelbrot,22.86,7.11,0.0,0.81,1425,32.0,0
mandelbrot,22.88,7.11,0.0,0.81,1425,32.0,0
mandelbrot,22.83,7.08,0.0,0.81,1424,32.0,0
mandelbrot,22.87,7.11,0.0,0.81,1425,32.0,0
mandelbrot,22.88,7.11,0.0,0.81,1424,32.0,0
mandelbrot,23.23,7.16,0.0,0.82,1451,32.0,0
mandelbrot,22.87,7.11,0.0,0.81,1424,32.0,0
